Timestamp,Have you heard of Dune: Part 1 (2021) or Dune: Part 2 (2024),Have you watched Dune: Part 1?,"If you answered ""Yes"" to the previous question, what score out of 10 (5 being an average, okay movie) would you rate Dune: Part 1?",Have you watched Dune: Part 2?,"If you answered ""Yes"" to the previous question, what score out of 10 (5 being an average, okay movie) would you rate Dune: Part 2?","If you have not watched Dune: Part 1 or Dune: Part 2, do you honestly think you will in the next year?",What is your most anticipated movie releasing in 2026?
3/17/2026 19:11:12,No,No,,No,,No,Reminders of him 
3/17/2026 19:12:45,Yes,Yes,6,Yes,4,Yes,Doomsday
3/17/2026 19:15:47,Yes,Yes,8,Yes,8,,The Clemp
3/17/2026 19:23:39,Yes,No,,No,,No,Hoppers
3/17/2026 19:27:16,Yes,No,,Yes,7,No,Avengers: Doomsday
3/18/2026 0:09:12,Yes,No,,No,,Yes,Avengers: Doomsday
3/18/2026 0:38:58,Yes,No,,No,,No,GTA VI
3/19/2026 17:47:53,Yes,No,,No,,Yes,The Avenger
3/19/2026 14:18:05,Yes,Yes,8,No,,Yes,spider man
3/24/2026 14:52:12,Yes,Yes,8,Yes,9,,The Odyssey
3/24/2026 14:58:53,No,No,,No,,No,Not Sure
3/24/2026 15:34:03,Yes,No,,No,,No,Spiderman
