Time,KnowledgeOfMovies,Dune1Watch,Dune1Rating,Dune2Watch,Dune2Rating,WillYouWatch,2026Movie
3/17/2026 19:11:12,No,No,,No,,No,Reminders of Him
3/17/2026 19:12:45,Yes,Yes,6,Yes,4,Yes,Avengers: Doomsday
3/17/2026 19:15:47,Yes,Yes,8,Yes,8,,The Clemp
3/17/2026 19:23:39,Yes,No,,No,,No,Hoppers
3/17/2026 19:27:16,Yes,No,,Yes,7,No,Avengers: Doomsday
3/18/2026 0:09:12,Yes,No,,No,,Yes,Avengers: Doomsday
3/18/2026 0:38:58,Yes,No,,No,,No,GTA VI
3/19/2026 17:47:53,Yes,No,,No,,Yes,Avengers: Doomsday
3/19/2026 14:18:05,Yes,Yes,8,No,,Yes,Spiderman: Brand New Day
3/24/2026 14:52:12,Yes,Yes,8,Yes,9,,The Odyssey
3/24/2026 14:58:53,No,No,,No,,No,Not Sure
3/24/2026 15:34:03,Yes,No,,No,,No,Spiderman: Brand New Day
